频道由爬虫自动更新,#genre#,http://diyp1.112114.xyz/

央视4K&高端设备,#genre#
CCTV9,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002144/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3949784BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV10,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226164/index.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000506/index.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002146/index.m3u8
CCTV10,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3949784BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUXt3TPFwzzdHCkOT9AjSv5OuXozn3alq9%2BUx7ZLG1w9aOfkLjZvYj56D3xkOAtSOIoLsdw8c1%2BCwLDg1aS4esN4
CCTV11,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226541/index.m3u8
CCTV11,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000053BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV11,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000508/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000040BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV12,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226436/index.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000509/index.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000054BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV13,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226438/index.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000314/index.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000510/index.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002179/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb20]:554/ott.mobaibox.com/000000400000001/H265_8000k_1080P_cctv13_CR
CCTV14,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3949788BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV14,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226166/index.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000511/index.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002148/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000055BESTVSMGSMG/1.m3u8?m3u8_level=2
CCTV15,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226616/index.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000512/index.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002181/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226413/index.m3u8
CCTV16,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000016/index.m3u8
CCTV16&江苏v6,rtsp://[2409:8087:2001:20:2800:0:df6e:eb1a]:554/ott.mobaibox.com/000000400000001/HD_8000k_1080P_cctv16_CR
CCTV17,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638728afa13b4/1.m3u8?m3u8_level=2
CCTV17,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226407/index.m3u8
CCTV17,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000391/index.m3u8
CCTV17,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000513/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6604ddd5cf779/index.m3u8?m3u8_level=2
CHC动作电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/1.m3u8?m3u8_level=2
CHC动作电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNSXQZMUEnZPBI3Y%2BI8ABE4PJC%2B6OvlZZw5ubC%2FbrIdxFJJY1CcAGU%2BYDDQV9oJ%2FVqQ
CHC影迷电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/1.m3u8?m3u8_level=2
CHC影迷电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNS8qWmEGeaUedzcFVVumqf9cm8lJoOcrIZueLbqOJTuoPV%2FwBk6CoHYGFV14SkLW04
CHC家庭影院,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807601b19dd/1.m3u8?m3u8_level=2
CHC家庭影院,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807601b19dd/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNRxu2SqX2RKsLT0S7AyQ8XopIVrD6IJGxdajeuKy4iZqZ4tkZuiEpwSRPszF6PIvg4
兵器科技,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077907bdcd/1.m3u8?m3u8_level=2
世界地理,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2
怀旧剧场,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380783f9a29a/index.m3u8?m3u8_level=2
女性时尚,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078715ba68/index.m3u8?m3u8_level=2
第一剧场,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077f5ca035/1.m3u8?m3u8_level=2
风云音乐,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807810519fb/index.m3u8?m3u8_level=2
风云足球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077160c04a/1.m3u8?m3u8_level=2
央视高网,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807743b61bb/1.m3u8?m3u8_level=2
央视高网,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000094/index.m3u8
央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/1.m3u8?m3u8_level=2
CETV-1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000046/index.m3u8
CETV-1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3138605BESTVSMGSMG/1.m3u8?m3u8_level=2
CETV-2,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000071/index.m3u8
CETV-4,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226279/index.m3u8
CETV-4,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000072/index.m3u8
CGTN,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f4f64099/1.m3u8?m3u8_level=2
CGTN,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000063/index.m3u8
CGTN,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002182/index.m3u8
CGTN阿拉伯语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638071b0e6a2c/1.m3u8?m3u8_level=2
CGTN阿拉伯语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000086/index.m3u8
CGTN俄语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638071d299009/1.m3u8?m3u8_level=2
CGTN俄语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000085/index.m3u8
CGTN法语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806fb631afe/1.m3u8?m3u8_level=2
CGTN法语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000087/index.m3u8
CGTN记录,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63a15d0ee63f3/1.m3u8?m3u8_level=2
CGTN纪录,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000062/index.m3u8
CGTN西班牙语,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63806f81c8eb5/1.m3u8?m3u8_level=2
CGTN西班牙语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000088/index.m3u8
河南梨园,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/1.m3u8?m3u8_level=2
河南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000044BESTVSMGSMG/1.m3u8?m3u8_level=2
河南卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226614/index.m3u8
河南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000027/index.m3u8
河南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002221/index.m3u8
文物宝库,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078a346161/1.m3u8?m3u8_level=2
武术世界,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078be5d654/1.m3u8?m3u8_level=2
黑龙江卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181356BESTVSMGSMG/1.m3u8?m3u8_level=2
黑龙江卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226142/index.m3u8
黑龙江卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000521/index.m3u8
黑龙江卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002142/index.m3u8
安徽卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3540416BESTVSMGSMG/1.m3u8?m3u8_level=2
安徽卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226205/index.m3u8
安徽卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000514/index.m3u8
安徽卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002200/index.m3u8
北京卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181361BESTVSMGSMG/1.m3u8?m3u8_level=2
北京卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226161/index.m3u8
北京卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000516/index.m3u8
北京卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002145/index.m3u8
东方卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111131BESTVSMGSMG/1.m3u8?m3u8_level=2
东方卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221225755/index.m3u8
东方卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226155/index.m3u8
东方卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000518/index.m3u8
东方卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002207/index.m3u8
东南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN3540417BESTVSMGSMG/1.m3u8?m3u8_level=2
东南卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226182/index.m3u8
东南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000519/index.m3u8
兵团卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN126389BESTVSMGSMG9/1.m3u8?m3u8_level=2
兵团卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000059/index.m3u8
甘肃卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226240/index.m3u8
甘肃卫视,http://[2409:8087:74F1:0021::0008]:80/270000001111/1110000322/index.m3u8
甘肃卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000023/index.m3u8
甘肃卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002160/index.m3u8
湖北卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN911989BESTVSMGSMG/1.m3u8?m3u8_level=2
湖北卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226159/index.m3u8
湖北卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000522/index.m3u8
湖北卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002204/index.m3u8
湖南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181358BESTVSMGSMG9/1.m3u8?m3u8_level=2
湖南卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226193/index.m3u8
湖南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000523/index.m3u8
湖南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002143/index.m3u8
吉林卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000046BESTVSMGSMG/1.m3u8?m3u8_level=2
吉林卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226440/index.m3u8
吉林卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000030/index.m3u8
吉林卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002224/index.m3u8
安多卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226405/index.m3u8
安多卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000064/index.m3u8
深圳卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226199/index.m3u8
广东卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN181359BESTVSMGSMG/1.m3u8?m3u8_level=2
广东卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226180/index.m3u8
广东卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000520/index.m3u8
广东卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002203/index.m3u8
广西卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000045BESTVSMGSMG/1.m3u8?m3u8_level=2
广西卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226452/index.m3u8
广西卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000034/index.m3u8
广西卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002228/index.m3u8
贵州卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN4252663BESTVSMGSMG9/1.m3u8?m3u8_level=2
贵州卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226547/index.m3u8
贵州卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000036/index.m3u8
贵州卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002231/index.m3u8
海南卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN4252684BESTVSMGSMG9/1.m3u8?m3u8_level=2
海南卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226450/index.m3u8
海南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000037/index.m3u8
海南卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002232/index.m3u8
河北卫视,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN100000002BESTVSMGSMG9/1.m3u8?m3u8_level=2
河北卫视,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226442/index.m3u8
河北卫视,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000057/index.m3u8
河北卫视,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002229/index.m3u8
北京纪实,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000515/index.m3u8
黑莓电影,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000095/index.m3u8
黑莓动画,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000096/index.m3u8
NEWTV爱情喜剧,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000104/index.m3u8
NEWTV海外剧场,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000115/index.m3u8
NEWTV中国功夫,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000101/index.m3u8
NEWTV惊悚悬疑,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000113/index.m3u8
NEWTV精品大剧,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000100/index.m3u8
NEWTV精品纪录,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000109/index.m3u8
NEWTV精品萌宠,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000122/index.m3u8
NEWTV明星大片,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000116/index.m3u8
NEWTV精品体育,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000102/index.m3u8
NEWTV军旅剧场,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000107/index.m3u8
